year,init_month,sst_mdr,anomaly_mdr,sst_trop,anomaly_trop,gcm_id
2021,6,300.0909,-0.1494649251302083,297.94516,-0.2068277994791666,3
2021,7,299.59653,-0.4829305013020833,297.97,-0.194000244140625,3
2022,4,300.25842,-0.1163431803385416,298.02722,-0.170501708984375,3
2022,5,300.15857,-0.14703369140625,297.93893,-0.205230712890625,3
2022,6,300.14658,-0.0938008626302083,297.9458,-0.2061665852864583,3
2022,7,299.92715,-0.1522725423177083,297.8815,-0.2824808756510417,3
2023,4,300.53387,0.15911865234375,298.25534,0.0576273600260416,3
2023,5,300.63596,0.3303324381510417,298.23453,0.0903523763020833,3
2023,6,301.04672,0.8063151041666666,298.2999,0.1479085286458333,3
2023,7,300.71005,0.630615234375,298.31766,0.1536763509114583,3
2025,4,300.5532,0.1784261067708333,298.3832,0.1854756673177083,3
2025,5,300.3571,0.0515034993489583,298.29947,0.155303955078125,3
2025,6,299.95026,-0.290130615234375,298.1809,0.0289408365885416,3
2025,7,299.68875,-0.3906758626302083,298.14774,-0.016265869140625,3
1993,4,299.36957,-0.125213623046875,298.05603,-0.0159708658854166,4
1993,5,299.47794,-0.2390645345052083,298.19287,-0.0066019694010416,4
1993,6,299.83847,-0.2044576009114583,298.32614,-0.022552490234375,4
1993,7,299.98825,-0.2009785970052083,298.46933,-0.0719807942708333,4
1994,4,299.2841,-0.210693359375,297.92715,-0.1448465983072916,4
1994,5,299.3817,-0.3352864583333333,298.0488,-0.1506754557291666,4
1994,6,299.5165,-0.526397705078125,298.18228,-0.1664021809895833,4
1994,7,299.5654,-0.6238606770833334,298.35513,-0.1861673990885416,4
1995,4,299.36624,-0.1285298665364583,298.00833,-0.06365966796875,4
1995,5,299.9214,0.2043660481770833,298.16794,-0.0315450032552083,4
1995,6,300.34705,0.3041483561197917,298.32083,-0.0278727213541666,4
1995,7,300.67395,0.4847005208333333,298.59146,0.0501708984375,4
1996,4,299.45056,-0.0442301432291666,297.90103,-0.1709696451822916,4
1996,5,299.54178,-0.17523193359375,298.04868,-0.1507771809895833,4
1996,6,299.8513,-0.191619873046875,298.18112,-0.1675821940104166,4
1996,7,300.01865,-0.17059326171875,298.4248,-0.1164957682291666,4
1997,4,299.32626,-0.1685078938802083,298.17624,0.1042582194010416,4
1997,5,299.69925,-0.0177714029947916,298.3643,0.1648457845052083,4
1997,6,300.05905,0.0161336263020833,298.57294,0.2242431640625,4
1997,7,300.2673,0.0780537923177083,298.73087,0.1895751953125,4
1998,4,299.94202,0.447235107421875,298.167,0.0949910481770833,4
1998,5,300.07413,0.3571370442708333,298.29852,0.09906005859375,4
1998,6,300.4349,0.3920084635416667,298.44067,0.0919698079427083,4
1998,7,300.546,0.3567403157552083,298.609,0.0677286783854166,4
1999,4,299.40912,-0.085662841796875,297.89688,-0.17510986328125,4
1999,5,299.71933,0.0023091634114583,298.0219,-0.17755126953125,4
1999,6,300.0353,-0.007598876953125,298.16956,-0.1791483561197916,4
1999,7,300.26328,0.0740152994791666,298.34323,-0.1980794270833333,4
2000,4,299.24643,-0.2483723958333333,297.99472,-0.0772705078125,4
